Date,HH:MM,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Direct Normal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s}
1/1/1999,1:00,7.2,5.6,90,0,0,0
1/1/1999,2:00,7.2,5.6,90,0,170,2.1
1/1/1999,3:00,6.7,5,89,0,210,2.1
1/1/1999,4:00,6.1,5,93,0,200,1.5
1/1/1999,5:00,4.4,3.9,97,0,260,3.1
1/1/1999,6:00,4.4,3.9,97,0,180,2.1
1/1/1999,7:00,6.1,4.4,89,0,0,0
1/1/1999,8:00,5,2.8,86,69,0,0
1/1/1999,9:00,7.8,5,82,477,0,0
1/1/1999,10:00,8.9,6.7,86,651,0,0
1/1/1999,11:00,9.4,7.2,86,677,30,1.5
1/1/1999,12:00,10,7.2,83,542,40,1.5
1/1/1999,13:00,10.6,7.8,83,532,50,1.5
1/1/1999,14:00,11.1,8.3,83,543,0,0
1/1/1999,15:00,13.9,4.4,53,643,0,0
1/1/1999,16:00,13.9,2.8,47,449,330,3.1
1/1/1999,17:00,11.1,6.7,74,0,350,3.1
1/1/1999,18:00,11.1,5.6,69,0,310,1.5
1/1/1999,19:00,10.6,2.8,58,0,270,1.5
1/1/1999,20:00,10.6,3.3,61,0,200,2.1
1/1/1999,21:00,8.9,2.8,66,0,200,2.1
1/1/1999,22:00,9.4,2.2,61,0,250,2.1
1/1/1999,23:00,7.8,3.9,76,0,170,1.5
1/1/1999,24:00:00,6.7,3.9,82,0,120,2.6
1/2/1999,1:00,8.9,6.1,83,0,70,2.1
1/2/1999,2:00,6.1,2.8,79,0,0,0
1/2/1999,3:00,5.6,3.3,85,0,0,0
1/2/1999,4:00,3.9,1.7,86,0,0,0
1/2/1999,5:00,5.6,3.3,85,0,190,1.5
1/2/1999,6:00,7.2,3.9,80,0,100,3.1
1/2/1999,7:00,7.8,2.8,71,0,130,4.1
1/2/1999,8:00,7.2,3.9,80,72,130,5.7
1/2/1999,9:00,10.6,2.8,58,402,110,6.2
1/2/1999,10:00,11.7,3.3,56,590,120,5.2
1/2/1999,11:00,13.9,1.7,44,490,100,3.6
1/2/1999,12:00,13.9,2.8,47,667,100,4.1
1/2/1999,13:00,13.9,3.9,51,708,0,0
1/2/1999,14:00,13.9,4.4,53,395,40,2.1
1/2/1999,15:00,12.2,7.8,74,508,40,2.1
1/2/1999,16:00,12.8,5.6,62,410,350,3.1
1/2/1999,17:00,11.1,7.2,77,0,360,4.1
1/2/1999,18:00,10.6,6.7,77,0,0,0
1/2/1999,19:00,11.7,4.4,61,0,0,0
1/2/1999,20:00,11.7,2.8,54,0,150,1.5
1/2/1999,21:00,10,5.6,74,0,80,1.5
1/2/1999,22:00,8.9,6.7,86,0,0,0
1/2/1999,23:00,9.4,6.1,80,0,0,0
1/2/1999,24:00:00,8.9,4.4,73,0,0,0
1/3/1999,1:00,9.4,6.1,80,0,90,2.6
1/3/1999,2:00,10,4.4,68,0,90,5.2
1/3/1999,3:00,12.2,2.8,53,0,60,1.5
1/3/1999,4:00,13.9,1.1,42,0,50,8.2
1/3/1999,5:00,12.8,2.8,51,0,40,11.3
1/3/1999,6:00,12.2,2.8,53,0,30,10.3
1/3/1999,7:00,11.1,3.3,59,0,30,10.3
1/3/1999,8:00,11.1,2.2,54,68,50,8.2
1/3/1999,9:00,11.7,1.7,50,328,80,4.1
1/3/1999,10:00,13.3,1.1,43,438,110,2.6
1/3/1999,11:00,12.2,3.9,57,508,80,4.1
1/3/1999,12:00,15,1.1,39,369,110,2.6
